Year,Month,Temperature
1901,1,-0.7475728155339798
1901,2,-0.3980582524271844
1901,3,0.2038834951456312
1901,4,0.1262135922330101
1901,5,0.2427184466019423
1901,6,0.5533980582524265
1901,7,0.5533980582524265
1901,8,0.572815533980582
1901,9,0.5339805825242723
1901,10,0.4368932038834956
1901,11,-0.06796116504854322
1901,12,-0.4368932038834943
1902,1,-0.7281553398058243
1902,2,-0.41747572815534006
1902,3,0.16504854368931987
1902,4,0.22330097087378675
1902,5,0.2621359223300965
1902,6,0.5728155339805849
1902,7,0.6699029126213616
1902,8,0.6893203883495145
1902,9,0.6893203883495145
1902,10,0.4757281553398054
1902,11,0.06796116504854322
1902,12,-0.5339805825242709
1903,1,-0.7281553398058243
1903,2,-0.37864077669902885
1903,3,0.06796116504854322
1903,4,0.16504854368931987
1903,5,0.30097087378640786
1903,6,0.4757281553398054
1903,7,0.6116504854368934
1903,8,0.6699029126213587
1903,9,0.3980582524271845
1903,10,0.4368932038834956
1903,11,-0.16504854368931987
1903,12,-0.7669902912621355
1904,1,-0.7475728155339798
1904,2,-0.33980582524271763
1904,3,-0.10679611650485166
1904,4,0.08737864077669877
1904,5,0.22330097087378675
1904,6,0.41747572815534006
1904,7,0.5533980582524265
1904,8,0.5922330097087378
1904,9,0.4368932038834956
1904,10,0.4368932038834956
1904,11,-0.08737864077669888
1904,12,-0.7281553398058243
1905,1,-0.6893203883495145
1905,2,-0.4368932038834943
1905,3,-0.08737864077669888
1905,4,0.02912621359223344
1905,5,0.2621359223300965
1905,6,0.5339805825242723
1905,7,0.5533980582524265
1905,8,0.6699029126213587
1905,9,0.6310679611650489
1905,10,0.45631067961164984
1905,11,0.048543689320388994
1905,12,-0.37864077669902885
1906,1,-0.6893203883495145
1906,2,-0.30097087378640497
1906,3,-0.04854368932038766
1906,4,0.02912621359223344
1906,5,0.2621359223300965
1906,6,0.6310679611650489
1906,7,0.5922330097087378
1906,8,0.5922330097087378
1906,9,0.4368932038834956
1906,10,0.41747572815534006
1906,11,0.14563106796116565
1906,12,-0.5728155339805822
1907,1,-0.7669902912621355
1907,2,-0.5922330097087349
1907,3,-0.06796116504854322
1907,4,-0.04854368932038766
1907,5,0.009708737864077888
1907,6,0.4757281553398054
1907,7,0.6893203883495145
1907,8,0.6893203883495145
1907,9,0.3786407766990316
1907,10,0.45631067961164984
1907,11,0.06796116504854322
1907,12,-0.5922330097087378
1908,1,-0.7281553398058243
1908,2,-0.5533980582524265
1908,3,0.009708737864077888
1908,4,0.10679611650485454
1908,5,0.2427184466019423
1908,6,0.45631067961164984
1908,7,0.6116504854368934
1908,8,0.6116504854368934
1908,9,0.5728155339805849
1908,10,0.41747572815534006
1908,11,0.02912621359223344
1908,12,-0.41747572815534006
1909,1,-0.7669902912621355
1909,2,-0.45631067961164984
1909,3,0.08737864077669877
1909,4,-0.009708737864077777
1909,5,0.4757281553398054
1909,6,0.5145631067961167
1909,7,0.7281553398058256
1909,8,0.572815533980582
1909,9,0.49514563106796117
1909,10,0.4368932038834956
1909,11,-0.04854368932038766
1909,12,-0.5922330097087378
1910,1,-0.9223300970873776
1910,2,-0.6116504854368934
1910,3,-0.30097087378640497
1910,4,-0.009708737864077777
1910,5,0.18446601941747542
1910,6,0.5145631067961167
1910,7,0.6504854368932032
1910,8,0.6310679611650489
1910,9,0.2815533980582521
1910,10,0.3980582524271845
1910,11,-0.2038834951456283
1910,12,-0.7475728155339798
1911,1,-0.7669902912621355
1911,2,-0.5533980582524265
1911,3,-0.24271844660194097
1911,4,-0.04854368932038766
1911,5,0.08737864077670165
1911,6,0.49514563106796117
1911,7,0.5922330097087378
1911,8,0.6310679611650489
1911,9,0.5339805825242723
1911,10,0.49514563106796117
1911,11,0.1262135922330101
1911,12,-0.4757281553398055
1912,1,-0.5533980582524265
1912,2,-0.5339805825242709
1912,3,0.009708737864077888
1912,4,0.16504854368931987
1912,5,0.3980582524271845
1912,6,0.5145631067961167
1912,7,0.45631067961164984
1912,8,0.5922330097087378
1912,9,0.37864077669902874
1912,10,0.45631067961164984
1912,11,-0.02912621359223344
1912,12,-0.5339805825242709
1913,1,-0.6310679611650476
1913,2,-0.4368932038834943
1913,3,-0.1262135922330101
1913,4,-0.02912621359223344
1913,5,0.33980582524271896
1913,6,0.37864077669902874
1913,7,0.5339805825242723
1913,8,0.5922330097087378
1913,9,0.45631067961164984
1913,10,0.45631067961164984
1913,11,-0.10679611650485443
1913,12,-0.6699029126213588
1914,1,-0.6893203883495145
1914,2,-0.3980582524271844
1914,3,-0.04854368932038766
1914,4,0.16504854368931987
1914,5,0.2621359223300965
1914,6,0.5533980582524265
1914,7,0.5339805825242723
1914,8,0.6116504854368934
1914,9,0.5145631067961167
1914,10,0.45631067961164984
1914,11,-0.04854368932038766
1914,12,-0.5145631067961167
1915,1,-0.70873786407767
1915,2,-0.33980582524271763
1915,3,-0.02912621359223344
1915,4,0.08737864077670165
1915,5,0.2621359223300965
1915,6,0.6116504854368934
1915,7,0.5922330097087378
1915,8,0.6116504854368934
1915,9,0.5339805825242723
1915,10,0.45631067961164984
1915,11,0.08737864077669877
1915,12,-0.5922330097087378
1916,1,-0.8058252427184467
1916,2,-0.5339805825242709
1916,3,-0.02912621359223344
1916,4,0.1262135922330101
1916,5,0.4757281553398083
1916,6,0.41747572815534006
1916,7,0.7281553398058256
1916,8,0.6116504854368934
1916,9,0.4368932038834956
1916,10,0.4368932038834956
1916,11,-0.08737864077669888
1916,12,-0.5533980582524265
1917,1,-0.6893203883495116
1917,2,-0.6504854368932032
