Year,Month,Rainfall
1925,6,83.1
1925,7,79.4
1925,8,89.85
1925,9,86.5
1925,10,71.4
1925,11,80.55
1925,12,64.3
1926,1,54.150000000000006
1926,2,44.599999999999994
1926,3,51.65
1926,4,58.55
1926,5,94.7
1926,6,85.85
1926,7,97.35
1926,8,74.45
1926,9,68.95
1926,10,77.0
1926,11,67.55000000000001
1926,12,54.65
1927,1,58.65
1927,2,48.900000000000006
1927,3,53.65
1927,4,68.85
1927,5,78.55
1927,6,79.9
1927,7,74.4
1927,8,88.0
1927,9,91.0
1927,10,78.25
1927,11,64.2
1927,12,55.6
1928,1,45.85
1928,2,52.25
1928,3,51.9
1928,4,69.25
1928,5,81.4
1928,6,72.35
1928,7,65.4
1928,8,84.25
1928,9,80.0
1928,10,72.9
1928,11,74.55000000000001
1928,12,60.5
1929,1,49.05
1929,2,40.15
1929,3,42.349999999999994
1929,4,57.95
1929,5,65.9
1929,6,78.2
1929,7,72.65
1929,8,89.25
1929,9,64.5
1929,10,93.0
1929,11,64.5
1929,12,67.7
1930,1,51.3
1930,2,46.05
1930,3,47.95
1930,4,73.75
1930,5,85.95
1930,6,70.69999999999999
1930,7,81.69999999999999
1930,8,89.69999999999999
1930,9,74.0
1930,10,87.30000000000001
1930,11,64.75
1930,12,62.2
1931,1,63.55
1931,2,50.75
1931,3,50.85
1931,4,69.05
1931,5,74.1
1931,6,68.6
1931,7,84.35
1931,8,89.55000000000001
1931,9,82.2
1931,10,69.5
1931,11,64.55
1931,12,54.849999999999994
1932,1,47.2
1932,2,38.900000000000006
1932,3,57.7
1932,4,67.7
1932,5,89.5
1932,6,72.5
1932,7,92.15
1932,8,81.55
1932,9,88.25
1932,10,90.65
1932,11,59.95
1932,12,49.95
1933,1,51.85
1933,2,41.9
1933,3,49.400000000000006
1933,4,55.8
1933,5,91.2
1933,6,91.55
1933,7,71.6
1933,8,78.0
1933,9,72.5
1933,10,83.6
1933,11,73.5
1933,12,64.9
1934,1,45.900000000000006
1934,2,35.55
1934,3,52.0
1934,4,60.400000000000006
1934,5,67.65
1934,6,73.80000000000001
1934,7,83.35
1934,8,95.19999999999999
1934,9,74.9
1934,10,84.85
1934,11,72.3
1934,12,67.8
1935,1,49.75
1935,2,52.85
1935,3,47.7
1935,4,62.6
1935,5,74.1
1935,6,79.6
1935,7,63.85
1935,8,83.25
1935,9,77.6
1935,10,85.55
1935,11,66.5
1935,12,72.19999999999999
1936,1,56.2
1936,2,54.0
1936,3,49.25
1936,4,64.4
1936,5,93.7
1936,6,85.25
1936,7,86.85
1936,8,72.9
1936,9,82.45
1936,10,84.25
1936,11,65.05
1936,12,54.2
1937,1,57.900000000000006
1937,2,48.5
1937,3,59.0
1937,4,76.6
1937,5,72.25
1937,6,79.44999999999999
1937,7,72.15
1937,8,95.65
1937,9,88.75
1937,10,80.75
1937,11,63.65
1937,12,64.85
1938,1,60.150000000000006
1938,2,40.55
1938,3,40.95
1938,4,58.5
1938,5,88.5
1938,6,62.75
1938,7,89.05000000000001
1938,8,94.85
1938,9,78.1
1938,10,83.35
1938,11,63.25
1938,12,68.9
1939,1,60.9
1939,2,43.349999999999994
1939,3,64.85
1939,4,54.95
1939,5,75.75
1939,6,78.35
1939,7,81.5
1939,8,84.15
1939,9,75.69999999999999
1939,10,91.85
1939,11,71.55
1939,12,53.849999999999994
1940,1,49.35
1940,2,48.05
1940,3,54.4
1940,4,59.2
1940,5,79.8
1940,6,84.75
1940,7,87.75
1940,8,83.1
1940,9,83.8
1940,10,76.8
1940,11,73.65
1940,12,65.4
1941,1,57.45
1941,2,45.349999999999994
1941,3,54.65
1941,4,71.1
1941,5,81.1
1941,6,78.75
1941,7,82.4
1941,8,92.95
1941,9,63.2
1941,10,81.55
1941,11,72.9
1941,12,56.1
1942,1,52.75
1942,2,48.0
1942,3,59.6
1942,4,77.1
1942,5,82.45
1942,6,72.2
1942,7,76.44999999999999
1942,8,73.8
1942,9,75.0
1942,10,71.95
1942,11,65.8
1942,12,58.5
1943,1,55.849999999999994
1943,2,44.2
1943,3,57.5
1943,4,65.19999999999999
1943,5,84.4
1943,6,77.05
1943,7,77.55
1943,8,80.8
1943,9,76.35
1943,10,62.849999999999994
1943,11,74.9
1943,12,61.4
1944,1,54.0
1944,2,50.349999999999994
1944,3,49.8
1944,4,61.8
1944,5,68.8
1944,6,80.05000000000001
1944,7,71.9
1944,8,73.0
1944,9,100.94999999999999
1944,10,91.6
1944,11,75.3
1944,12,55.8
1945,1,53.7
1945,2,39.5
1945,3,41.0
1945,4,57.6
1945,5,77.25
1945,6,65.55000000000001
1945,7,69.65
1945,8,92.65
1945,9,82.65
1945,10,66.4
1945,11,59.45
1945,12,64.85
1946,1,48.1
1946,2,49.35
1946,3,48.75
1946,4,50.85
1946,5,75.6
1946,6,90.25
1946,7,75.05
1946,8,81.35
1946,9,71.8
1946,10,76.15
1946,11,63.599999999999994
1946,12,57.8
1947,1,53.3
1947,2,47.7
1947,3,49.9
1947,4,55.75
1947,5,70.3
1947,6,80.7
1947,7,76.75
1947,8,69.9
1947,9,71.1
1947,10,66.55
1947,11,69.65
1947,12,79.5
1948,1,65.0
1948,2,48.8
1948,3,44.0
1948,4,70.69999999999999
1948,5,74.9
1948,6,95.7
1948,7,78.44999999999999
1948,8,90.80000000000001
1948,9,73.1
1948,10,70.1
1948,11,52.5
1948,12,51.95
1949,1,47.8
1949,2,31.2
1949,3,55.75
1949,4,53.7
1949,5,82.55
1949,6,82.95
1949,7,72.4
1949,8,87.0
1949,9,69.65
1949,10,64.5
1949,11,71.3
1949,12,76.7
1950,1,60.4
1950,2,50.8
1950,3,48.5
1950,4,67.19999999999999
1950,5,70.15
1950,6,60.65
1950,7,83.65
1950,8,90.5
1950,9,94.69999999999999
1950,10,80.9
1950,11,72.5
1950,12,68.9
1951,1,55.4
1951,2,51.25
1951,3,66.25
1951,4,65.6
1951,5,80.6
1951,6,80.0
1951,7,71.05
1951,8,82.5
1951,9,82.4
1951,10,83.5
1951,11,71.2
1951,12,57.1
1952,1,52.8
1952,2,47.9
1952,3,48.650000000000006
1952,4,57.2
1952,5,72.0
1952,6,73.85
1952,7,66.75
1952,8,75.8
1952,9,95.19999999999999
1952,10,86.35
1952,11,81.0
1952,12,60.0
1953,1,54.85
1953,2,48.25
1953,3,47.7
1953,4,59.7
1953,5,77.55
1953,6,87.15
1953,7,87.9
1953,8,81.35
1953,9,81.1
1953,10,75.5
1953,11,55.7
1953,12,49.7
1954,1,54.45
1954,2,56.75
1954,3,57.55
1954,4,69.1
1954,5,82.65
1954,6,76.75
1954,7,93.05000000000001
1954,8,93.44999999999999
1954,9,83.85
1954,10,70.25
1954,11,66.6
1954,12,69.55
1955,1,55.400000000000006
1955,2,52.7
1955,3,51.9
1955,4,57.7
1955,5,68.25
1955,6,73.19999999999999
1955,7,94.85
1955,8,80.19999999999999
1955,9,96.1
1955,10,78.0
1955,11,66.6
1955,12,71.85
1956,1,59.9
1956,2,52.0
1956,3,70.3
1956,4,69.55
1956,5,78.05000000000001
1956,6,93.75
1956,7,78.85
1956,8,87.75
1956,9,75.1
1956,10,83.0
1956,11,59.95
1956,12,49.9
1957,1,52.099999999999994
1957,2,50.2
1957,3,52.5
1957,4,64.94999999999999
1957,5,83.65
1957,6,76.2
1957,7,84.75
1957,8,82.85
1957,9,79.15
1957,10,76.9
1957,11,58.2
1957,12,59.55
1958,1,65.0
1958,2,48.65
1958,3,49.55
1958,4,61.099999999999994
1958,5,68.3
1958,6,75.75
1958,7,80.15
1958,8,80.8
1958,9,60.8
1958,10,73.30000000000001
1958,11,58.0
1958,12,68.1
1959,1,51.8
1959,2,33.400000000000006
1959,3,54.7
1959,4,67.05
1959,5,77.94999999999999
1959,6,69.9
1959,7,71.65
1959,8,77.6
1959,9,69.4
1959,10,76.85
1959,11,68.0
1959,12,65.55000000000001
1960,1,59.349999999999994
1960,2,41.849999999999994
1960,3,58.2
1960,4,65.5
1960,5,64.0
1960,6,80.15
1960,7,97.19999999999999
1960,8,85.4
1960,9,81.1
1960,10,87.1
1960,11,74.6
1960,12,65.8
1961,1,50.150000000000006
1961,2,41.4
1961,3,45.95
1961,4,70.75
1961,5,77.0
1961,6,79.35
1961,7,91.65
1961,8,79.05
1961,9,68.65
1961,10,89.94999999999999
1961,11,82.5
1961,12,72.85
1962,1,54.849999999999994
1962,2,45.8
1962,3,56.35
1962,4,72.45
1962,5,76.15
1962,6,70.5
1962,7,74.65
1962,8,79.55
1962,9,74.1
1962,10,69.2
1962,11,76.44999999999999
1962,12,61.45
1963,1,61.2
1963,2,52.849999999999994
1963,3,61.8
1963,4,69.0
1963,5,85.4
1963,6,80.4
1963,7,73.95
1963,8,99.95
1963,9,72.9
1963,10,69.15
1963,11,78.3
1963,12,55.150000000000006
1964,1,33.45
1964,2,40.05
1964,3,52.65
1964,4,61.8
1964,5,70.5
1964,6,76.75
1964,7,79.6
1964,8,91.2
1964,9,75.9
1964,10,81.75
1964,11,65.5
1964,12,67.7
1965,1,56.55
1965,2,42.849999999999994
1965,3,41.2
1965,4,67.5
1965,5,76.75
1965,6,77.55
1965,7,85.44999999999999
1965,8,88.1
1965,9,92.6
1965,10,66.15
1965,11,74.5
1965,12,66.8
1966,1,52.150000000000006
1966,2,52.2
1966,3,58.650000000000006
1966,4,68.1
1966,5,70.65
1966,6,86.55000000000001
1966,7,80.94999999999999
1966,8,87.0
1966,9,68.4
1966,10,93.9
1966,11,75.9
1966,12,79.75
1967,1,51.2
1967,2,49.2
1967,3,59.349999999999994
1967,4,69.15
1967,5,76.94999999999999
1967,6,77.35
1967,7,74.19999999999999
1967,8,79.6
1967,9,84.94999999999999
1967,10,75.9
1967,11,75.75
1967,12,60.65
1968,1,59.650000000000006
1968,2,47.849999999999994
1968,3,46.95
