Year,Month,Temperature
1901,1,-1.1213592233009697
1901,2,-0.5970873786407767
1901,3,0.3058252427184467
1901,4,0.18932038834951515
1901,5,0.36407766990291357
1901,6,0.8300970873786397
1901,7,0.8300970873786397
1901,8,0.8592233009708732
1901,9,0.8009708737864085
1901,10,0.6553398058252435
1901,11,-0.10194174757281482
1901,12,-0.6553398058252414
1902,1,-1.0922330097087363
1902,2,-0.6262135922330101
1902,3,0.2475728155339798
1902,4,0.33495145631068013
1902,5,0.3932038834951448
1902,6,0.8592233009708772
1902,7,1.0048543689320422
1902,8,1.0339805825242716
1902,9,1.0339805825242716
1902,10,0.7135922330097082
1902,11,0.10194174757281482
1902,12,-0.8009708737864064
1903,1,-1.0922330097087363
1903,2,-0.5679611650485432
1903,3,0.10194174757281482
1903,4,0.2475728155339798
1903,5,0.45145631067961167
1903,6,0.7135922330097082
1903,7,0.9174757281553401
1903,8,1.0048543689320382
1903,9,0.5970873786407767
1903,10,0.6553398058252435
1903,11,-0.2475728155339798
1903,12,-1.1504854368932032
1904,1,-1.1213592233009697
1904,2,-0.5097087378640764
1904,3,-0.16019417475727749
1904,4,0.13106796116504826
1904,5,0.33495145631068013
1904,6,0.6262135922330101
1904,7,0.8300970873786397
1904,8,0.8883495145631066
1904,9,0.6553398058252435
1904,10,0.6553398058252435
1904,11,-0.13106796116504826
1904,12,-1.0922330097087363
1905,1,-1.0339805825242716
1905,2,-0.6553398058252414
1905,3,-0.13106796116504826
1905,4,0.04368932038835016
1905,5,0.3932038834951448
1905,6,0.8009708737864085
1905,7,0.8300970873786397
1905,8,1.0048543689320382
1905,9,0.9466019417475735
1905,10,0.6844660194174748
1905,11,0.0728155339805836
1905,12,-0.5679611650485432
1906,1,-1.0339805825242716
1906,2,-0.45145631067960745
1906,3,-0.07281553398058138
1906,4,0.04368932038835016
1906,5,0.3932038834951448
1906,6,0.9466019417475735
1906,7,0.8883495145631066
1906,8,0.8883495145631066
1906,9,0.6553398058252435
1906,10,0.6262135922330101
1906,11,0.21844660194174859
1906,12,-0.8592233009708732
1907,1,-1.1504854368932032
1907,2,-0.8883495145631025
1907,3,-0.10194174757281482
1907,4,-0.07281553398058138
1907,5,0.01456310679611672
1907,6,0.7135922330097082
1907,7,1.0339805825242716
1907,8,1.0339805825242716
1907,9,0.5679611650485472
1907,10,0.6844660194174748
1907,11,0.10194174757281482
1907,12,-0.8883495145631066
1908,1,-1.0922330097087363
1908,2,-0.8300970873786399
1908,3,0.01456310679611672
1908,4,0.1601941747572817
1908,5,0.36407766990291357
1908,6,0.6844660194174748
1908,7,0.9174757281553401
1908,8,0.9174757281553401
1908,9,0.8592233009708772
1908,10,0.6262135922330101
1908,11,0.04368932038835016
1908,12,-0.6262135922330101
1909,1,-1.1504854368932032
1909,2,-0.6844660194174749
1909,3,0.13106796116504826
1909,4,-0.01456310679611672
1909,5,0.7135922330097082
1909,6,0.7718446601941751
1909,7,1.0922330097087385
1909,8,0.8592233009708732
1909,9,0.7427184466019416
1909,10,0.6553398058252435
1909,11,-0.07281553398058138
1909,12,-0.8883495145631066
1910,1,-1.3834951456310662
1910,2,-0.9174757281553401
1910,3,-0.45145631067960745
1910,4,-0.01456310679611672
1910,5,0.27669902912621325
1910,6,0.7718446601941751
1910,7,0.9757281553398047
1910,8,0.9466019417475735
